NOM PDV,ADRESSE PDV,LOCALISATION
Alimentation Chez Laurent,Maristes,"17°20'22.88""W  14°48'12.83""N"
Alimentation Lewto,Maristes,"17°26'11.63""W  14°44'21.12""N"
Bar Chez Appo,Castor,"17°27'6.87""W  14°43'29.79""N"
Bar Chez Elisa Marie Jeanne,Bourgiba,"17°27'2.97""W  14°43'4.35""N"
Bar Chez Fanfa Remond,Dieupeul,"17°27'10.76""W  14°43'6.08""N"
Alimentation Daniel,Grand Dakar,"17°27'30.74""W  14°42'21.09""N"
Alimentation Chez Jean,Grand Dakar,"17°27'15.24""W  14°42'28.86""N"
Alimentation Ernest,Libertés 2,"17°27'26.81""W  14°42'47.40""N"
Bar Samaritin 2 libertés 2 Nina,Libertés 2,"17°27'26.78""W  14°42'47.53""N"
Alimentation Emmanuel,Libertés 2,"17°27'21.68""W  14°42'45.15""N"
Alimentation Feuilles de Vignes,libertés 2,"17°27'21.56""W  14°42'44.27""N"
Bar  Le dimanche,Sacré Cœur,"17°27'40.12""W  14°42'53.04""N"
Chez Djiegane,Libertés 1,"17°27'37.59""W  14°42'40.89""N"
Bar Etalon,Face Demba Diop,"17°27'29.26""W  14°42'32.21""N"
Alimentation Chez Nico Astou,Marché Castor,"17°26'57.63""W  14°43'33.19""N"
Alimentation Chez Didier,Sacré Cœur,"17°27'50.13""W  14°43'4.10""N"
Bar  Restaurant Chez Tata Catho,Rond point JVC,"17°27'46.82""W  14°43'17.52""N"
Bar Odéon  Madame Thioro Diaw,Rond point Libertés 6,"17°27'36.47""W  14°43'43.81""N"
Alimentation Maman Bendio,Libertés 6 Extension côté pharmacie Nassou Keita,"17°28'10.11""W  14°43'33.22""N"
Alimentation Always Leontine,Baobab  côté Mairie,"17°27'46.44""W  14°42'18.47""N"
Bar Le Ngonal,Baobab côte Mairie,"17°27'46.01""W  14°42'18.42""N"
Bar 606 MIKE   Marie,Baobab N 606,"17°27'40.96""W  14°42'22.77""N"
